description,category
Online course purchase (Udemy),Education
Netflix subscription,Entertainment
McDonald's meal,Food
Flight ticket booking,Travel
Health insurance premium,Healthcare
Metro card recharge,Travel
Local kirana store purchase,Groceries
SIP investment payment,Investment
Netflix subscription,Entertainment
Broadband bill payment,Bills
Amazon Prime subscription,Entertainment
College tuition fee payment,Education
Apollo pharmacy purchase,Healthcare
Diesel refill payment,Fuel
Electricity bill payment,Bills
Pizza from Dominos,Food
Petrol bunk payment,Fuel
Petrol bunk payment,Fuel
IPL match ticket purchase,Entertainment
Local kirana store purchase,Groceries
Hospital bill payment,Healthcare
Local store shopping,Shopping
SIP investment payment,Investment
Bus ticket booking,Travel
Amazon shopping order,Shopping
College tuition fee payment,Education
Electricity bill payment,Bills
Myntra clothing order,Shopping
Exam registration fee,Education
PPF contribution,Investment
Broadband bill payment,Bills
College tuition fee payment,Education
Doctor consultation fee,Healthcare
College tuition fee payment,Education
Books purchase,Education
Water bill payment,Bills
Local kirana store purchase,Groceries
Apollo pharmacy purchase,Healthcare
Rapido bike ride,Travel
Zomato dinner order,Food
EV charging payment,Fuel
PPF contribution,Investment
Electronics purchase,Shopping
Spotify subscription,Entertainment
Ajio fashion purchase,Shopping
Coaching center fee,Education
Doctor consultation fee,Healthcare
Swiggy food order,Food
Gas cylinder booking,Bills
Auto fare payment,Travel
Movie ticket booking (BookMyShow),Entertainment
LIC premium payment,Investment
Flight ticket booking,Travel
Diesel refill payment,Fuel
Diesel refill payment,Fuel
EV charging payment,Fuel
LIC premium payment,Investment
Amazon shopping order,Shopping
Coaching center fee,Education
DMart grocery purchase,Groceries
BigBasket grocery order,Groceries
Apollo pharmacy purchase,Healthcare
Netflix subscription,Entertainment
Mobile recharge,Bills
College tuition fee payment,Education
DMart grocery purchase,Groceries
Books purchase,Education
Ajio fashion purchase,Shopping
Swiggy food order,Food
Netflix subscription,Entertainment
Doctor consultation fee,Healthcare
Books purchase,Education
LIC premium payment,Investment
Spotify subscription,Entertainment
Amazon shopping order,Shopping
Diagnostic lab test payment,Healthcare
PPF contribution,Investment
Reliance Fresh purchase,Groceries
Swiggy food order,Food
Bakery purchase,Food
Ice cream purchase,Food
Mobile recharge,Bills
Hospital bill payment,Healthcare
Mutual fund purchase,Investment
Health insurance premium,Healthcare
BigBasket grocery order,Groceries
Hospital bill payment,Healthcare
Electronics purchase,Shopping
LIC premium payment,Investment
Stock market investment (Zerodha),Investment
Amazon Prime subscription,Entertainment
Petrol bunk payment,Fuel
Electricity bill payment,Bills
IPL match ticket purchase,Entertainment
Exam registration fee,Education
Hospital bill payment,Healthcare
DTH recharge,Bills
Local kirana store purchase,Groceries
Doctor consultation fee,Healthcare
Flipkart purchase,Shopping
Health insurance premium,Healthcare
Electronics purchase,Shopping
Diagnostic lab test payment,Healthcare
LIC premium payment,Investment
Health insurance premium,Healthcare
Exam registration fee,Education
Diesel refill payment,Fuel
EV charging payment,Fuel
Bus ticket booking,Travel
BigBasket grocery order,Groceries
Electronics purchase,Shopping
Pizza from Dominos,Food
Movie ticket booking (BookMyShow),Entertainment
BigBasket grocery order,Groceries
PPF contribution,Investment
Water bill payment,Bills
EV charging payment,Fuel
Doctor consultation fee,Healthcare
Diesel refill payment,Fuel
Local kirana store purchase,Groceries
SIP investment payment,Investment
DTH recharge,Bills
Swiggy food order,Food
IPL match ticket purchase,Entertainment
Train ticket booking (IRCTC),Travel
Spotify subscription,Entertainment
McDonald's meal,Food
Health insurance premium,Healthcare
Broadband bill payment,Bills
Amazon Prime subscription,Entertainment
Petrol bunk payment,Fuel
LIC premium payment,Investment
BigBasket grocery order,Groceries
Auto fare payment,Travel
Swiggy food order,Food
Netflix subscription,Entertainment
Auto fare payment,Travel
Uber ride to college,Travel
IPL match ticket purchase,Entertainment
DMart grocery purchase,Groceries
Mutual fund purchase,Investment
Electricity bill payment,Bills
Street food snacks,Food
Stock market investment (Zerodha),Investment
Hospital bill payment,Healthcare
Gas cylinder booking,Bills
Coaching center fee,Education
Local kirana store purchase,Groceries
Spotify subscription,Entertainment
BigBasket grocery order,Groceries
Stock market investment (Zerodha),Investment
Netflix subscription,Entertainment
Apollo pharmacy purchase,Healthcare
IPL match ticket purchase,Entertainment
Petrol bunk payment,Fuel
Petrol bunk payment,Fuel
Mutual fund purchase,Investment
McDonald's meal,Food
Books purchase,Education
IPL match ticket purchase,Entertainment
Amazon shopping order,Shopping
Lunch at local restaurant,Food
IPL match ticket purchase,Entertainment
Books purchase,Education
Books purchase,Education
